Model,Algorithm...2,R_squared,RMSE,MAE,MAPE,Algorithm...7,Approach
XGBoost_grid_1_AutoML_2_20230507_122424_model_8,xgboost,0.919411801637213,16331.689704490344,6039.5303106744295,22.45220610473937,XGBoost,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_8,xgboost,0.9155646136644322,16716.973112902153,6336.279319988965,23.555382937336997,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_3_20230507_132440_model_8,xgboost,0.9129627612284867,16972.583302368177,5412.162266926305,20.11993920695356,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_1_20230507_112409_model_8,xgboost,0.9122838303834101,17038.65172382588,6023.553135593985,22.392810289266166,XGBoost,All predictors
StackedEnsemble_BestOfFamily_4_AutoML_2_20230507_122424,stackedensemble,0.9091526976179312,17340.09268417903,6423.264209528576,23.878752896171306,StackedEnsemble,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_47,gbm,0.9045697740550807,17772.084626193508,6375.847934640662,23.702480914454313,GBM,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_47,gbm,0.9039739101813645,17827.482504440566,6377.434011810932,23.708377222559925,GBM,All predictors
StackedEnsemble_BestOfFamily_4_AutoML_4_20230507_142453,stackedensemble,0.9033210722831639,17887.98034434655,6709.8397956738545,24.94410960335567,StackedEnsemble,Without stand alone
XGBoost_grid_1_AutoML_3_20230507_132440_model_13,xgboost,0.9018779399902048,18020.993300579194,7199.075324758754,26.762863110290013,XGBoost,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_47,gbm,0.9011403570756981,18088.598339025306,5858.485557305282,21.77916467473918,GBM,Without social indicators
StackedEnsemble_BestOfFamily_4_AutoML_3_20230507_132440,stackedensemble,0.8988421128027271,18297.648122832576,5853.379695747453,21.76018342120759,StackedEnsemble,Without social indicators
StackedEnsemble_BestOfFamily_4_AutoML_1_20230507_112409,stackedensemble,0.8981811533432005,18357.328652230302,6456.936477899822,24.003930959794747,StackedEnsemble,All predictors
StackedEnsemble_AllModels_4_AutoML_4_20230507_142453,stackedensemble,0.8948862407093147,18651.99029343596,6635.492434762781,24.667720184865864,StackedEnsemble,Without stand alone
GBM_5_AutoML_2_20230507_122424,gbm,0.8943812188912783,18696.74359194085,7135.520546102729,26.52659556696729,GBM,Without retrofit
StackedEnsemble_AllModels_3_AutoML_4_20230507_142453,stackedensemble,0.8943358124780268,18700.762104717454,6636.712826744804,24.672257043015335,StackedEnsemble,Without stand alone
DRF_1_AutoML_3_20230507_132440,drf,0.8936322090079756,18762.921715469736,6456.6750465617815,24.002959077879765,DRF,Without social indicators
